RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
11,11,1,1,1,MZ,MZCER048,UFGA0002,Mar_2_150N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018069,2018121,2018179,2018227,2018227,2018,-99,25655,13284,13284,0,18518,0.267128140,4973,621.615356,0.517793000,5.16829729,-99.0000000,-99,-99,-99,-99,-99,3,88,578,648,409,238,24,50,254,2,150,0,245,0,17,116,218,174,0.200973913,-99,-99,-99,-99,-99,-99,-99,-99,0,32049,32047,0,0,247002,246950,0.00000000,4.58201218,52.9409637,42.8161964,62.7062187,289.968842,27.4123020,22.1697979,32.4686546,150.142975,171.034576,104.715050,88.5599976,54.2204094,158,21.9797478,10.5601273,20.3006287,13.9551735,408.164734,484.599945,599.193542,193.436462,409.133057,1,
12,12,1,1,1,MZ,MZCER048,UFGA0002,Mar_2_200N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018069,2018121,2018179,2018227,2018227,2018,-99,27152,14581,14581,0,19922,0.291294366,5005,625.682678,0.537006497,5.19545031,-99.0000000,-99,-99,-99,-99,-99,3,89,578,647,410,237,23,50,256,2,200,0,285,0,17,107,258,213,0.259312809,-99,-99,-99,-99,-99,-99,-99,-99,0,32056,32054,0,0,246985,246933,0.00000000,4.21176720,56.0290565,45.3310280,66.1559677,306.454529,30.0887356,24.3436775,35.5270920,164.572281,135.758392,95.2690430,72.9049988,51.1614037,158,21.9797478,10.5601273,20.3006287,13.9551735,408.164734,484.599945,598.964539,191.926514,410.419189,1,
13,13,1,1,1,MZ,MZCER048,UFGA0002,Mar_2_250N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018069,2018121,2018179,2018227,2018227,2018,-99,28186,15125,15125,0,20467,0.302175045,5005,625.682678,0.536625803,5.19545031,-99.0000000,-99,-99,-99,-99,-99,3,94,578,647,410,237,24,49,260,2,250,0,326,0,20,101,299,245,0.320567012,-99,-99,-99,-99,-99,-99,-99,-99,0,32062,32060,0,0,246981,246928,0.00000000,4.63099766,58.1631317,47.0558968,68.6756439,301.042511,31.2113113,25.2509842,36.8525047,161.544464,112.743401,86.4596634,60.5000000,46.3957062,158,21.9797478,10.5601273,20.3006287,13.9551735,408.164734,484.599945,598.986572,191.948044,410.419861,1,
14,14,1,1,1,MZ,MZCER048,UFGA0002,Mar_2_300N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018069,2018121,2018179,2018227,2018227,2018,-99,28556,15125,15125,0,20467,0.302175045,5005,625.682678,0.529678047,5.19545031,-99.0000000,-99,-99,-99,-99,-99,3,92,578,647,410,237,24,49,258,2,300,0,363,0,26,96,337,259,0.388309598,-99,-99,-99,-99,-99,-99,-99,-99,0,32067,32065,0,0,246979,246927,0.00000000,4.61286545,58.9260521,47.6715088,69.5759277,311.999908,31.2113113,25.2501259,36.8522224,165.256714,95.1852112,78.6654587,50.4166679,41.6666679,158,21.9797478,10.5601273,20.3006287,13.9551735,408.164734,484.599945,599.006897,191.965256,410.423004,1,
15,15,1,1,1,MZ,MZCER048,UFGA0002,Mar_2_350N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018069,2018121,2018179,2018227,2018227,2018,-99,28556,15125,15125,0,20467,0.302175045,5005,625.682678,0.529678047,5.19545031,-99.0000000,-99,-99,-99,-99,-99,3,90,578,647,410,237,24,49,256,2,350,0,368,0,65,92,342,259,0.460619718,-99,-99,-99,-99,-99,-99,-99,-99,0,32071,32069,0,0,246978,246926,0.00000000,4.71874666,58.9260521,47.6704979,69.5755844,317.636902,31.2113113,25.2495918,36.8520393,168.242462,81.5873184,77.5966339,43.2142868,41.1005440,158,21.9797478,10.5601273,20.3006287,13.9551735,408.164734,484.599945,599.019592,191.976135,410.425049,1,
16,16,1,1,1,MZ,MZCER048,UFGA0002,Mar_2_400N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018069,2018121,2018179,2018227,2018227,2018,-99,28556,15125,15125,0,20467,0.302175045,5005,625.682678,0.529678047,5.19545031,-99.0000000,-99,-99,-99,-99,-99,3,88,578,647,410,237,24,49,255,2,400,0,368,0,110,88,342,259,0.536941707,-99,-99,-99,-99,-99,-99,-99,-99,0,32075,32073,0,0,246976,246924,0.00000000,4.70691872,58.9260521,47.6672974,69.5741653,323.289032,31.2113113,25.2478962,36.8512878,171.236221,71.3889084,77.5966339,37.8125000,41.1005440,158,21.9797478,10.5601273,20.3006287,13.9551735,408.164734,484.599945,599.059814,192.008759,410.433411,1,
17,17,1,1,1,MZ,MZCER048,UFGA0002,Mar_3_50N_Rainfed        ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018081,2018122,2018179,2018226,2018226,2018,-99,17836,9628,9628,0,12307,0.303903192,3168,396.033051,0.539831340,3.71029758,-99.0000000,-99,-99,-99,-99,-99,3,90,573,641,353,289,24,50,257,2,50,0,155,0,15,124,129,95,0.105482399,-99,-99,-99,-99,-99,-99,-99,-99,0,32040,32037,0,0,247042,246989,0.00000000,4.81683207,37.8122711,30.9700089,50.5698395,198.938644,20.4112797,16.7177887,27.2978897,107.388214,356.720947,115.071274,192.559998,62.1161308,145,23.1641407,11.6896563,20.8234425,14.1453733,408.197754,471.699982,575.913513,224.948456,352.701263,1,
18,18,1,1,1,MZ,MZCER048,UFGA0002,Mar_3_100N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018081,2018122,2018179,2018226,2018226,2018,-99,22292,12018,12018,0,15944,0.268908441,4469,558.666016,0.539129615,4.59992838,-99.0000000,-99,-99,-99,-99,-99,3,91,573,643,388,256,24,50,256,2,100,0,196,0,16,121,171,132,0.146754786,-99,-99,-99,-99,-99,-99,-99,-99,0,32044,32042,0,0,247026,246973,0.00000000,4.82917929,47.2593384,38.5900536,57.5176315,244.904495,25.4780598,20.8043480,31.0084248,132.030869,222.922287,113.735863,120.180000,61.3163261,145,23.1641407,11.6896563,20.8234425,14.1453733,408.197754,471.699982,577.667725,192.411835,387.572083,1,
19,19,1,1,1,MZ,MZCER048,UFGA0002,Mar_3_150N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018081,2018122,2018179,2018226,2018226,2018,-99,25030,13051,13051,0,18241,0.263969392,4944,618.018555,0.521421552,5.03049660,-99.0000000,-99,-99,-99,-99,-99,3,91,573,643,400,242,24,50,257,2,150,0,235,0,16,116,207,166,0.188120067,-99,-99,-99,-99,-99,-99,-99,-99,0,32049,32047,0,0,247017,246964,0.00000000,4.63996315,53.0628090,43.3956184,62.5189056,276.514374,27.6680107,22.6273441,32.5986061,144.180115,166.864838,106.509476,87.0066681,55.5361710,145,23.1641407,11.6896563,20.8234425,14.1453733,408.197754,471.699982,576.780029,179.020844,400.354523,1,
20,20,1,1,1,MZ,MZCER048,UFGA0002,Mar_3_200N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018081,2018122,2018179,2018226,2018226,2018,-99,26288,14051,14051,0,19391,0.281573594,4990,623.772949,0.534500897,5.06338596,-99.0000000,-99,-99,-99,-99,-99,4,118,573,642,402,241,23,49,285,2,200,0,268,0,17,109,241,199,0.236378372,-99,-99,-99,-99,-99,-99,-99,-99,0,32054,32052,0,0,246990,246938,0.00000000,4.03052235,55.7306557,45.5834541,65.4326477,223.514893,29.7880020,24.3643303,34.9737129,119.468582,131.440735,98.0901031,70.2549973,52.4291039,145,23.1641407,11.6896563,20.8234425,14.1453733,408.197754,471.699982,576.703735,177.550186,401.758881,1,
