RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
31,31,1,1,1,MZ,MZCER048,UFGA0002,Apr_1_350N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018092,2018122,2018179,2018226,2018226,2018,-99,27955,15079,15079,0,20419,0.302175015,4990,623.772949,0.539398611,5.06338596,-99.0000000,-99,-99,-99,-99,-99,3,93,573,642,402,241,23,49,260,2,350,0,338,0,20,99,312,253,0.353818178,-99,-99,-99,-99,-99,-99,-99,-99,0,32064,32062,0,0,246993,246940,0.00000000,4.40845537,63.2904053,49.9852219,69.5847931,299.136627,34.1385574,26.9618015,37.5337219,161.352936,79.8724899,82.7081985,43.0828590,44.6124268,134,24.5395546,12.9432850,21.5485039,14.3026247,408.231293,441.699982,559.272705,160.128082,401.745392,1,
32,32,1,1,1,MZ,MZCER048,UFGA0002,Apr_1_400N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018092,2018122,2018179,2018226,2018226,2018,-99,28089,15079,15079,0,20419,0.302175015,4990,623.772949,0.536831737,5.06338596,-99.0000000,-99,-99,-99,-99,-99,3,92,573,642,402,241,24,49,259,2,400,0,361,0,27,96,334,258,0.404244334,-99,-99,-99,-99,-99,-99,-99,-99,0,32067,32065,0,0,246992,246940,0.00000000,4.61425924,63.5930328,50.2231522,69.9172745,304.557159,34.1385574,26.9612217,37.5335922,163.494995,70.2226028,77.8089752,37.6974983,41.7700844,134,24.5395546,12.9432850,21.5485039,14.3026247,408.231293,441.699982,559.284729,160.138901,401.746796,1,
33,33,1,1,1,MZ,MZCER048,UFGA0002,Apr_2_50N_Rainfed        ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018103,2018122,2018184,2018231,2018231,2018,-99,18131,9493,9493,0,11901,0.314251006,3021,377.613983,0.523588598,4.04451180,-99.0000000,-99,-99,-99,-99,-99,3,92,587,664,371,293,24,50,250,2,50,0,160,0,15,130,131,91,0.107521735,-99,-99,-99,-99,-99,-99,-99,-99,0,32035,32033,0,0,247028,246976,0.00000000,4.81761265,40.5164680,32.0994377,48.8861389,196.417938,21.2134113,16.8064632,25.5955620,102.839523,362.622345,113.319481,189.860001,59.3312492,128,26.3007851,14.6554699,21.9437485,14.4106522,408.291962,447.499939,564.842224,195.810364,370.884613,1,
34,34,1,1,1,MZ,MZCER048,UFGA0002,Apr_2_100N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018103,2018122,2018184,2018231,2018231,2018,-99,22492,12012,12012,0,15374,0.277832180,4324,540.440186,0.534056485,4.94238186,-99.0000000,-99,-99,-99,-99,-99,3,92,587,665,405,260,24,51,247,2,100,0,201,0,15,127,171,126,0.147511631,-99,-99,-99,-99,-99,-99,-99,-99,0,32038,32036,0,0,247009,246958,0.00000000,4.78885221,50.2620277,39.7362823,55.5944519,245.660263,26.8424625,21.2211819,29.6902466,131.194992,224.922546,111.901764,120.120003,59.7611923,128,26.3007851,14.6554699,21.9437485,14.4106522,408.291962,447.499939,566.038208,163.905548,404.577301,1,
35,35,1,1,1,MZ,MZCER048,UFGA0002,Apr_2_150N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018103,2018122,2018184,2018231,2018231,2018,-99,25662,13362,13362,0,17969,0.265015572,5042,630.234070,0.520678878,5.41348982,-99.0000000,-99,-99,-99,-99,-99,3,94,587,663,420,242,24,51,252,2,150,0,238,0,15,123,207,159,0.187495366,-99,-99,-99,-99,-99,-99,-99,-99,0,32043,32041,0,0,247006,246954,0.00000000,4.78417253,57.3456268,45.4890671,61.0349007,272.772308,29.8592224,23.6856461,31.7801857,142.029465,171.081100,107.824219,89.0800018,56.1428566,128,26.3007851,14.6554699,21.9437485,14.4106522,408.291962,447.499939,564.139160,146.543396,420.450653,1,
36,36,1,1,1,MZ,MZCER048,UFGA0002,Apr_2_200N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018103,2018122,2018184,2018231,2018231,2018,-99,27691,14132,14132,0,19531,0.266594380,5301,662.631714,0.510348797,5.53833961,-99.0000000,-99,-99,-99,-99,-99,3,92,587,662,424,238,24,51,251,2,200,0,274,0,15,120,244,192,0.234458342,-99,-99,-99,-99,-99,-99,-99,-99,0,32046,32044,0,0,246977,246925,0.00000000,4.63559914,61.8803978,49.1306152,65.3015289,299.627319,31.5798931,25.0732002,33.3258247,152.911087,138.457367,101.063774,70.6600037,51.5766411,128,26.3007851,14.6554699,21.9437485,14.4106522,408.291962,447.499939,563.629700,142.563660,424.055511,1,
37,37,1,1,1,MZ,MZCER048,UFGA0002,Apr_2_250N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018103,2018122,2018184,2018231,2018231,2018,-99,28856,15198,15198,0,20657,0.285724699,5319,664.908386,0.526697934,5.55150366,-99.0000000,-99,-99,-99,-99,-99,3,91,587,662,426,236,23,50,252,2,250,0,304,0,17,113,275,222,0.289469093,-99,-99,-99,-99,-99,-99,-99,-99,0,32051,32049,0,0,246962,246911,0.00000000,4.22632122,64.4829636,51.2162819,67.8057709,316.243927,33.9620171,26.9746914,35.7120781,166.559967,115.424492,94.9214554,60.7919998,49.9934196,128,26.3007851,14.6554699,21.9437485,14.4106522,408.291962,447.499939,563.416992,140.837677,425.570312,1,
38,38,1,1,1,MZ,MZCER048,UFGA0002,Apr_2_300N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018103,2018122,2018184,2018231,2018231,2018,-99,29480,15822,15822,0,21280,0.297445506,5319,664.908386,0.536707878,5.55150366,-99.0000000,-99,-99,-99,-99,-99,3,95,587,662,426,236,23,50,256,2,300,0,335,0,18,109,306,249,0.344643265,-99,-99,-99,-99,-99,-99,-99,-99,0,32055,32053,0,0,246955,246904,0.00000000,4.38512325,65.8761520,52.3239250,69.2357483,310.960175,35.3564301,28.0828037,37.1595612,166.895630,98.2652512,87.9987259,52.7400017,47.2298508,128,26.3007851,14.6554699,21.9437485,14.4106522,408.291962,447.499939,563.405273,140.611435,425.785431,1,
39,39,1,1,1,MZ,MZCER048,UFGA0002,Apr_2_350N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018103,2018122,2018184,2018231,2018231,2018,-99,30023,16366,16366,0,21824,0.307670653,5319,664.908386,0.545100808,5.55150366,-99.0000000,-99,-99,-99,-99,-99,3,93,587,662,426,236,24,50,253,2,350,0,367,0,19,105,338,273,0.403532237,-99,-99,-99,-99,-99,-99,-99,-99,0,32059,32057,0,0,246953,246902,0.00000000,4.60999298,67.0915833,53.2879105,70.5125809,323.510834,36.5720711,29.0475960,38.4368820,176.347916,85.7813721,81.8078461,46.7599983,44.5940056,128,26.3007851,14.6554699,21.9437485,14.4106522,408.291962,447.499939,563.420105,140.622620,425.788971,1,
40,40,1,1,1,MZ,MZCER048,UFGA0002,Apr_2_400N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018103,2018122,2018184,2018231,2018231,2018,-99,30323,16606,16606,0,22065,0.312187523,5319,664.908386,0.547633886,5.55150366,-99.0000000,-99,-99,-99,-99,-99,3,91,587,662,426,236,24,49,252,2,400,0,394,0,25,101,366,284,0.466896862,-99,-99,-99,-99,-99,-99,-99,-99,0,32063,32061,0,0,246952,246900,0.00000000,4.67976475,67.7616730,53.8188705,71.2164307,333.335724,37.1083832,29.4728775,39.0003204,182.544952,75.8083572,76.9627991,41.5149994,42.1472092,128,26.3007851,14.6554699,21.9437485,14.4106522,408.291962,447.499939,563.433289,140.633392,425.791382,1,
41,41,1,1,1,MZ,MZCER048,UFGA0002,Apr_3_50N_Rainfed        ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018114,2018125,2018186,2018235,2018235,2018,-99,17633,8872,8872,0,10884,0.326254964,2719,339.910461,0.503132939,3.76776385,-99.0000000,-99,-99,-99,-99,-99,3,94,609,676,368,307,26,57,253,2,50,0,159,0,16,135,130,86,0.103841580,-99,-99,-99,-99,-99,-99,-99,-99,0,32030,32028,0,0,246979,246927,0.00000000,5.43696404,38.7200470,31.7336922,47.8624115,187.522278,19.4817753,15.9666290,24.0817032,94.3507843,352.662201,110.900063,177.440002,55.7987404,121,27.7743835,16.1107445,22.2652874,14.4834089,408.343170,455.399994,555.658936,189.650848,368.412476,1,
42,42,1,1,1,MZ,MZCER048,UFGA0002,Apr_3_100N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018114,2018125,2018186,2018235,2018235,2018,-99,21148,11426,11426,0,14017,0.324663132,3519,439.932373,0.540302932,4.52879190,-99.0000000,-99,-99,-99,-99,-99,3,94,609,677,396,281,26,58,251,2,100,0,189,0,16,133,160,114,0.134139195,-99,-99,-99,-99,-99,-99,-99,-99,0,32032,32030,0,0,246967,246916,0.00000000,5.39931726,46.4385376,37.9530830,53.3453331,225.903870,25.0900307,20.5054703,28.8216667,122.052406,211.481094,111.894760,114.260002,60.4550247,121,27.7743835,16.1107445,22.2652874,14.4834089,408.343170,455.399994,557.217163,163.763931,396.437866,1,
43,43,1,1,1,MZ,MZCER048,UFGA0002,Apr_3_150N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018114,2018125,2018186,2018235,2018235,2018,-99,23265,12633,12633,0,15735,0.296851218,4256,531.967651,0.543014109,4.95307350,-99.0000000,-99,-99,-99,-99,-99,3,96,609,676,411,264,26,58,255,2,150,0,212,0,16,130,183,134,0.159557879,-99,-99,-99,-99,-99,-99,-99,-99,0,32035,32033,0,0,246959,246909,0.00000000,5.15051270,51.0869408,41.8638191,56.5910072,242.419861,27.7404480,22.7322502,30.7291832,131.635132,155.099945,109.740532,84.2200012,59.5896225,121,27.7743835,16.1107445,22.2652874,14.4834089,408.343170,455.399994,555.730286,148.019257,411.107574,1,
44,44,1,1,1,MZ,MZCER048,UFGA0002,Apr_3_200N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018114,2018125,2018186,2018235,2018235,2018,-99,25604,13591,13591,0,17848,0.283367068,4796,599.524048,0.530801535,5.42180061,-99.0000000,-99,-99,-99,-99,-99,3,95,609,674,423,250,26,58,255,2,200,0,238,0,16,128,208,159,0.190214664,-99,-99,-99,-99,-99,-99,-99,-99,0,32038,32036,0,0,246951,246900,0.00000000,5.30641127,56.2238770,46.2150536,60.4765091,270.744781,29.8440933,24.5313282,32.1014252,143.713547,128.021774,107.581314,67.9550018,57.1050415,121,27.7743835,16.1107445,22.2652874,14.4834089,408.343170,455.399994,554.026245,134.485413,423.376831,1,
45,45,1,1,1,MZ,MZCER048,UFGA0002,Apr_3_250N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018114,2018125,2018186,2018235,2018235,2018,-99,27118,14176,14176,0,19004,0.283798754,4995,624.375854,0.522753060,5.53007746,-99.0000000,-99,-99,-99,-99,-99,3,95,609,673,426,248,26,57,256,2,250,0,262,0,17,126,231,179,0.220661223,-99,-99,-99,-99,-99,-99,-99,-99,0,32040,32038,0,0,246945,246894,0.00000000,5.21692610,59.5465965,48.9754410,63.6717453,286.754669,31.1286793,25.6024837,33.2851486,149.904343,108.470078,103.501984,56.7039986,54.1068687,121,27.7743835,16.1107445,22.2652874,14.4834089,408.343170,455.399994,553.696289,131.768585,425.895660,1,
46,46,1,1,1,MZ,MZCER048,UFGA0002,Apr_3_300N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018114,2018125,2018186,2018235,2018235,2018,-99,28431,14854,14854,0,20080,0.289540857,5130,641.264648,0.522458136,5.59818602,-99.0000000,-99,-99,-99,-99,-99,3,95,609,673,428,245,26,56,258,2,300,0,288,0,17,123,258,204,0.419744760,-99,-99,-99,-99,-99,-99,-99,-99,0,32042,32040,0,0,246915,246865,0.00000000,5.39079380,62.4299011,51.3744125,66.4169464,299.206177,32.6174812,26.8413677,34.7005730,156.324951,94.7685852,98.7172775,49.5133324,51.5763893,121,27.7743835,16.1107445,22.2652874,14.4834089,408.343170,455.399994,553.399536,129.373978,428.062103,1,
47,47,1,1,1,MZ,MZCER048,UFGA0002,Apr_3_350N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018114,2018125,2018186,2018235,2018235,2018,-99,29211,15601,15601,0,20842,0.303901166,5134,641.706055,0.534084320,5.60463047,-99.0000000,-99,-99,-99,-99,-99,3,97,609,673,429,244,25,56,261,2,350,0,312,0,17,119,283,228,0.543207467,-99,-99,-99,-99,-99,-99,-99,-99,0,32046,32044,0,0,246904,246854,0.00000000,4.98320770,64.1439362,52.7982178,68.0748520,300.178741,34.2577972,28.1983089,36.3572044,160.318542,83.4604263,93.6254730,44.5742874,50.0032043,121,27.7743835,16.1107445,22.2652874,14.4834089,408.343170,455.399994,553.260132,128.194290,429.103394,1,
48,48,1,1,1,MZ,MZCER048,UFGA0002,Apr_3_400N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018114,2018125,2018186,2018235,2018235,2018,-99,29735,16126,16126,0,21366,0.314114779,5134,641.706055,0.542299807,5.60463047,-99.0000000,-99,-99,-99,-99,-99,3,95,609,673,429,244,25,56,258,2,400,0,336,0,19,115,307,250,0.683034420,-99,-99,-99,-99,-99,-99,-99,-99,0,32050,32048,0,0,246906,246856,0.00000000,5.16079378,65.2953110,53.7472878,69.2561646,313.337646,35.4106293,29.1479626,37.5586586,169.927704,74.3387146,88.4984665,40.3149986,47.9940491,121,27.7743835,16.1107445,22.2652874,14.4834089,408.343170,455.399994,553.246216,127.928619,429.355042,1,
49,49,1,1,1,MZ,MZCER048,UFGA0002,May_1_50N_Rainfed        ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018125,2018135,2018190,2018238,2018238,2018,-99,18928,10276,10276,0,12766,0.312738091,3286,410.745026,0.542933524,4.04525089,-99.0000000,-99,-99,-99,-99,-99,3,93,624,673,367,306,26,70,258,2,50,0,168,0,15,137,141,101,0.119944446,-99,-99,-99,-99,-99,-99,-99,-99,0,32027,32025,0,0,246919,246869,0.00000000,5.64747286,44.0690041,35.3067551,51.5119629,202.694977,23.9254932,19.1683826,27.9663467,110.045082,378.552765,112.664513,205.520004,61.1666679,113,28.4079647,16.9707966,22.1522160,14.5236273,408.393219,429.500031,536.091125,170.034058,367.441620,1,
50,50,1,1,1,MZ,MZCER048,UFGA0002,May_1_100N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018125,2018135,2018190,2018238,2018238,2018,-99,22971,12417,12417,0,15764,0.284023315,4372,546.459778,0.540539443,4.95998096,-99.0000000,-99,-99,-99,-99,-99,3,94,624,670,394,276,27,69,262,2,100,0,207,0,15,134,179,134,0.214901909,-99,-99,-99,-99,-99,-99,-99,-99,0,32030,32028,0,0,246908,246858,0.00000000,5.73686600,53.4824867,43.0926399,58.3167114,243.391693,28.9103584,23.2940483,31.5235348,131.567200,229.707306,110.969711,124.169998,59.9855080,113,28.4079647,16.9707966,22.1522160,14.5236273,408.393219,429.500031,533.054626,140.918991,393.896179,1,
51,51,1,1,1,MZ,MZCER048,UFGA0002,May_1_150N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018125,2018135,2018190,2018238,2018238,2018,-99,25344,13349,13349,0,17533,0.282949835,4718,589.734619,0.526719093,5.36023760,-99.0000000,-99,-99,-99,-99,-99,3,94,624,669,403,266,27,69,264,2,150,0,242,0,16,132,213,164,0.332240194,-99,-99,-99,-99,-99,-99,-99,-99,0,32033,32031,0,0,246895,246845,0.00000000,6.01284885,59.0083885,47.6618614,62.9007225,268.645538,31.0803242,25.1039925,33.1304550,141.498352,168.960709,104.727707,88.9933319,55.1611557,113,28.4079647,16.9707966,22.1522160,14.5236273,408.393219,429.500031,531.748108,130.795242,402.922333,1,
52,52,1,1,1,MZ,MZCER048,UFGA0002,May_1_200N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018125,2018135,2018190,2018238,2018238,2018,-99,27166,14370,14370,0,19175,0.293900073,4889,611.186890,0.528977752,5.44624949,-99.0000000,-99,-99,-99,-99,-99,3,93,624,668,406,263,26,69,263,2,200,0,273,0,16,128,244,194,0.459210128,-99,-99,-99,-99,-99,-99,-99,-99,0,32036,32034,0,0,246863,246813,0.00000000,6.12425947,63.2503777,51.1256905,66.9504089,292.155792,33.4575081,27.0439186,35.4147072,154.541428,135.830200,99.5093002,71.8499985,52.6373634,113,28.4079647,16.9707966,22.1522160,14.5236273,408.393219,429.500031,531.357910,127.616310,405.763611,1,
53,53,1,1,1,MZ,MZCER048,UFGA0002,May_1_250N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018125,2018135,2018190,2018238,2018238,2018,-99,27906,15099,15099,0,19910,0.308712363,4891,611.372803,0.541067421,5.44828224,-99.0000000,-99,-99,-99,-99,-99,3,91,624,668,407,261,26,68,262,2,250,0,301,0,16,124,272,221,0.590234220,-99,-99,-99,-99,-99,-99,-99,-99,0,32040,32038,0,0,246853,246803,0.00000000,5.75912189,64.9733963,52.5297813,68.6097794,305.969147,35.1548271,28.4220257,37.1223488,165.549194,111.624298,92.7112122,60.3959999,50.1627922,113,28.4079647,16.9707966,22.1522160,14.5236273,408.393219,429.500031,531.242920,126.528557,406.736115,1,
54,54,1,1,1,MZ,MZCER048,UFGA0002,May_1_300N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018125,2018135,2018190,2018238,2018238,2018,-99,28284,15477,15477,0,20288,0.316445678,4891,611.372803,0.547204554,5.44828224,-99.0000000,-99,-99,-99,-99,-99,3,93,624,668,407,261,26,68,263,2,300,0,328,0,18,120,299,243,0.720489740,-99,-99,-99,-99,-99,-99,-99,-99,0,32044,32042,0,0,246851,246801,0.00000000,5.64720535,65.8540344,53.2397804,69.5282211,305.110779,36.0349236,29.1324806,38.0454140,166.954742,94.2810287,86.2326508,51.5900002,47.1859741,113,28.4079647,16.9707966,22.1522160,14.5236273,408.393219,429.500031,531.262695,126.481583,406.803284,1,
55,55,1,1,1,MZ,MZCER048,UFGA0002,May_1_350N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018125,2018135,2018190,2018238,2018238,2018,-99,28861,16054,16054,0,20865,0.328233242,4891,611.372803,0.556249678,5.44828224,-99.0000000,-99,-99,-99,-99,-99,3,91,624,668,407,261,26,68,262,2,350,0,354,0,19,116,325,265,0.849849105,-99,-99,-99,-99,-99,-99,-99,-99,0,32047,32045,0,0,246850,246800,0.00000000,5.77256536,67.1963501,54.3226166,70.9450455,316.497589,37.3783455,30.2172565,39.4635773,176.053543,82.4595337,81.5277863,45.8685722,45.3502808,113,28.4079647,16.9707966,22.1522160,14.5236273,408.393219,429.500031,531.285828,126.502396,406.805511,1,
56,56,1,1,1,MZ,MZCER048,UFGA0002,May_1_400N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018125,2018135,2018190,2018238,2018238,2018,-99,29151,16243,16243,0,21054,0.332099944,4891,611.372803,0.557194710,5.44828224,-99.0000000,-99,-99,-99,-99,-99,3,95,624,668,407,261,26,68,266,2,400,0,378,0,21,114,350,277,0.978252888,-99,-99,-99,-99,-99,-99,-99,-99,0,32050,32048,0,0,246849,246799,0.00000000,5.97395611,67.8726349,54.8677368,71.6589508,305.487946,37.8183899,30.5721092,39.9281120,170.216797,72.8782501,77.1198349,40.6074982,42.9708977,113,28.4079647,16.9707966,22.1522160,14.5236273,408.393219,429.500031,531.301270,126.517143,406.806122,1,
57,57,1,1,1,MZ,MZCER048,UFGA0002,May_2_50N_Rainfed        ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018136,2018144,2018195,2018245,2018245,2018,-99,19934,10681,10681,0,13623,0.323288560,3304,412.977539,0.535803795,4.48753977,-99.0000000,-99,-99,-99,-99,-99,2,62,758,683,369,315,70,52,323,2,50,0,175,0,16,144,149,109,0.113667302,-99,-99,-99,-99,-99,-99,-99,-99,0,32020,32018,0,0,246802,246753,0.00000000,6.59579420,37.6687431,38.7438545,54.0636330,324.038086,20.1832943,20.7593498,28.9678459,173.622894,398.685974,113.910278,213.619995,61.0342865,109,28.8963280,17.6715603,21.9266071,14.4651566,408.464020,529.200012,514.515137,147.729294,368.719177,1,
58,58,1,1,1,MZ,MZCER048,UFGA0002,May_2_100N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018136,2018144,2018195,2018245,2018245,2018,-99,23587,12445,12445,0,16285,0.306124687,4065,508.151062,0.527602732,5.19528675,-99.0000000,-99,-99,-99,-99,-99,2,61,758,680,389,291,69,53,325,2,100,0,216,0,16,141,189,143,0.163140684,-99,-99,-99,-99,-99,-99,-99,-99,0,32023,32021,0,0,246781,246733,0.00000000,6.22378635,44.5711975,46.1285324,60.6349258,389.519623,23.5166283,24.3383083,31.9921627,205.518112,235.870789,109.199432,124.449997,57.6157417,109,28.8963280,17.6715603,21.9266071,14.4651566,408.464020,529.200012,511.333801,124.733170,389.001526,1,
59,59,1,1,1,MZ,MZCER048,UFGA0002,May_2_150N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018136,2018144,2018195,2018245,2018245,2018,-99,25819,13268,13268,0,17932,0.305222243,4347,543.364685,0.513878405,5.51277637,-99.0000000,-99,-99,-99,-99,-99,2,60,758,679,395,285,69,52,326,2,150,0,252,0,16,138,224,173,0.220525786,-99,-99,-99,-99,-99,-99,-99,-99,0,32027,32025,0,0,246774,246726,0.00000000,6.52694464,48.7884865,50.5786591,65.4268951,433.456421,25.0718060,25.9917545,33.6220818,222.747955,172.125778,102.455826,88.4533310,52.6507950,109,28.8963280,17.6715603,21.9266071,14.4651566,408.464020,529.200012,510.469574,118.428154,394.621613,1,
60,60,1,1,1,MZ,MZCER048,UFGA0002,May_2_200N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018136,2018144,2018195,2018245,2018245,2018,-99,27119,14018,14018,0,18988,0.315344483,4445,555.664307,0.516901493,5.58000135,-99.0000000,-99,-99,-99,-99,-99,2,60,758,679,396,283,69,52,328,2,200,0,286,0,16,134,258,205,0.363757253,-99,-99,-99,-99,-99,-99,-99,-99,0,32030,32028,0,0,246745,246697,0.00000000,5.97651863,51.2460175,53.1516609,68.4481125,450.051483,26.4890404,27.4740658,35.3807907,232.631378,135.596970,94.8230515,70.0899963,49.0139847,109,28.8963280,17.6715603,21.9266071,14.4651566,408.464020,529.200012,510.226624,116.614243,396.203674,1,
61,61,1,1,1,MZ,MZCER048,UFGA0002,May_2_250N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018136,2018144,2018195,2018245,2018245,2018,-99,27328,14227,14227,0,19196,0.320038885,4445,555.664307,0.520590544,5.58000135,-99.0000000,-99,-99,-99,-99,-99,2,64,758,679,396,283,68,52,332,2,250,0,309,0,18,128,281,223,0.448478818,-99,-99,-99,-99,-99,-99,-99,-99,0,32035,32033,0,0,246744,246696,0.00000000,5.72760391,51.6403427,53.5611649,68.9605331,429.845276,26.8839760,27.8839550,35.9008675,223.777542,109.312279,88.4403534,56.9080009,46.0420723,109,28.8963280,17.6715603,21.9266071,14.4651566,408.464020,529.200012,510.221741,116.527237,396.285675,1,
62,62,1,1,1,MZ,MZCER048,UFGA0002,May_2_300N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018136,2018144,2018195,2018245,2018245,2018,-99,27912,14738,14738,0,19708,0.331537426,4445,555.664307,0.528005838,5.58000135,-99.0000000,-99,-99,-99,-99,-99,2,62,758,679,396,283,68,52,330,2,300,0,334,0,20,124,307,244,0.538233042,-99,-99,-99,-99,-99,-99,-99,-99,0,32040,32038,0,0,246743,246694,0.00000000,5.89520788,52.7444115,54.7048340,70.4344940,449.349487,27.8495846,28.8847065,37.1901245,237.261078,93.0411453,83.5698929,49.1266670,44.1257477,109,28.8963280,17.6715603,21.9266071,14.4651566,408.464020,529.200012,510.235413,116.538605,396.287994,1,
63,63,1,1,1,MZ,MZCER048,UFGA0002,May_2_350N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018136,2018144,2018195,2018245,2018245,2018,-99,28016,14738,14738,0,19708,0.331537426,4445,555.664307,0.526045382,5.58000135,-99.0000000,-99,-99,-99,-99,-99,2,61,758,679,396,283,68,52,329,2,350,0,357,0,25,119,331,251,0.633197784,-99,-99,-99,-99,-99,-99,-99,-99,0,32044,32042,0,0,246741,246693,0.00000000,6.17966747,52.9409790,54.9078751,70.6967010,458.284149,27.8495846,28.8842678,37.1899757,241.080215,80.0467606,78.4772186,42.1085701,41.2829132,109,28.8963280,17.6715603,21.9266071,14.4651566,408.464020,529.200012,510.243164,116.544754,396.289581,1,
64,64,1,1,1,MZ,MZCER048,UFGA0002,May_2_400N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018136,2018144,2018195,2018245,2018245,2018,-99,28016,14738,14738,0,19708,0.331537426,4445,555.664307,0.526045382,5.58000135,-99.0000000,-99,-99,-99,-99,-99,2,60,758,679,396,283,69,52,328,2,400,0,362,0,49,115,336,251,0.732095480,-99,-99,-99,-99,-99,-99,-99,-99,0,32048,32047,0,0,246740,246692,0.00000000,6.22534657,52.9409790,54.9070282,70.6964264,465.128326,27.8495846,28.8838234,37.1898308,244.680588,70.0409164,77.3932800,36.8450012,40.7127075,109,28.8963280,17.6715603,21.9266071,14.4651566,408.464020,529.200012,510.251007,116.551048,396.291138,1,
